Round,match,Poli_minutes_played,Poli_goals_scored_00-15,Poli_goals_scored_16-30,Poli_goals_scored_31-45+,Poli_goals_scored_46-60,Poli_goals_scored_61-75,Poli_goals_scored_76-90+,Poli_assists_00-15,Poli_assists_16-30,Poli_assists_31-45+,Poli_assists_46-60,Poli_assists_61-75,Poli_assists_76-90+,Poli_yellow_cards,Poli_red_cards,Poli_penalties_converted,Poli_penalties_missed,Poli_scored_opening_goal,Poli_scored_equalizer,Poli_scored_winning_goal
1,Milan_v_Torino,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Napoli_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Milan_v_Udinese,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Sampdoria_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Milan_v_Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Fiorentina_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Milan_v_Sassuolo,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Chievo_v_Milan,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Milan_v_Juventus,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,Genoa_v_Milan,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Milan_v_Pescara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Palermo_v_Milan,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Milan_v_Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Empoli_v_Milan,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Milan_v_Crotone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Roma_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Milan_v_Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Bologna_v_Milan,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Milan_v_Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Torino_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Milan_v_Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Udinese_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Milan_v_Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Lazio_v_Milan,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Milan_v_Fiorentina,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Sassuolo_v_Milan,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Milan_v_Chievo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Juventus_v_Milan,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Milan_v_Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Pescara_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Milan_v_Palermo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Inter_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Milan_v_Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Crotone_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Milan_v_Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Atalanta_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Milan_v_Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Cagliari_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
