Round,match,Bertolacci_minutes_played,Bertolacci_goals_scored_00-15,Bertolacci_goals_scored_16-30,Bertolacci_goals_scored_31-45+,Bertolacci_goals_scored_46-60,Bertolacci_goals_scored_61-75,Bertolacci_goals_scored_76-90+,Bertolacci_assists_00-15,Bertolacci_assists_16-30,Bertolacci_assists_31-45+,Bertolacci_assists_46-60,Bertolacci_assists_61-75,Bertolacci_assists_76-90+,Bertolacci_yellow_cards,Bertolacci_red_cards,Bertolacci_penalties_converted,Bertolacci_penalties_missed,Bertolacci_scored_opening_goal,Bertolacci_scored_equalizer,Bertolacci_scored_winning_goal
1,Milan_v_Torino,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Napoli_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Milan_v_Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Sampdoria_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Milan_v_Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Fiorentina_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Milan_v_Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Chievo_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Milan_v_Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Genoa_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Milan_v_Pescara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Palermo_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Milan_v_Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Empoli_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Milan_v_Crotone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Roma_v_Milan,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Milan_v_Atalanta,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,Bologna_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Milan_v_Cagliari,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Torino_v_Milan,74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Milan_v_Napoli,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Udinese_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Milan_v_Sampdoria,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Lazio_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Milan_v_Fiorentina,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Sassuolo_v_Milan,97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,Milan_v_Chievo,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Juventus_v_Milan,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Milan_v_Genoa,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Pescara_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Milan_v_Palermo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Inter_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Milan_v_Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Crotone_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Milan_v_Roma,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,Atalanta_v_Milan,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Milan_v_Bologna,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Cagliari_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
